"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/11 16:28'05"	"41831.6861689815"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:28'25"	"41831.6864004630"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:28'45"	"41831.6866319444"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:29'05"	"41831.6868634259"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:29'25"	"41831.6870949074"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:29'45"	"41831.6873263889"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:30'05"	"41831.6875578704"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:30'25"	"41831.6877893519"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:30'45"	"41831.6880208333"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:31'05"	"41831.6882523148"	"  23.0000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:31'25"	"41831.6884837963"	"  23.0000"	"  54.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:31'45"	"41831.6887152778"	"  23.0000"	"  54.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:32'05"	"41831.6889467593"	"  23.0000"	"  54.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:32'25"	"41831.6891782407"	"  23.0000"	"  54.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:32'45"	"41831.6894097222"	"  23.0000"	"  54.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:33'05"	"41831.6896412037"	"  23.0000"	"  54.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:33'25"	"41831.6898726852"	"  23.0000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:33'45"	"41831.6901041667"	"  23.0000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:34'05"	"41831.6903356481"	"  23.0000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:34'25"	"41831.6905671296"	"  23.0000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:34'45"	"41831.6907986111"	"  23.0000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:35'05"	"41831.6910300926"	"  23.0000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:35'25"	"41831.6912615741"	"  23.0000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:35'45"	"41831.6914930556"	"  23.0000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:36'05"	"41831.6917245370"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:36'25"	"41831.6919560185"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:36'45"	"41831.6921875000"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:37'05"	"41831.6924189815"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:37'25"	"41831.6926504630"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:37'45"	"41831.6928819444"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:38'05"	"41831.6931134259"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:38'25"	"41831.6933449074"	"  22.8000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:38'45"	"41831.6935763889"	"  22.8000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:39'05"	"41831.6938078704"	"  22.8000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:39'25"	"41831.6940393519"	"  22.8000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:39'45"	"41831.6942708333"	"  22.8000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:40'05"	"41831.6945023148"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:40'25"	"41831.6947337963"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:40'45"	"41831.6949652778"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:41'05"	"41831.6951967593"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 16:41'25"	"41831.6954282407"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:41'45"	"41831.6956597222"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:42'05"	"41831.6958912037"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:42'25"	"41831.6961226852"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:42'45"	"41831.6963541667"	"  22.8000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:43'05"	"41831.6965856481"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
